Anketin Tarihi,Anket Şirketi,Örneklem,AKP,CHP,BBP,YRP,MHP,IYI,DEVA,GP,SP,DP,YSP,TIP,ZP,MP,TDP,BTP,Diger
8/5/2022,ASAL,2400,"35,1","25,8","0,1",0,9,"12,3","1,8","0,7",1,0,"10,4",0,0,0,0,0,"3,9"
15/05/2022,Aksoy,1067,"30,1","28,8","0,1",0,"8,3","13,2","2,2","0,7","1,4",0,"11,6",0,0,0,0,0,"5,6"
15/05/2022,SAROS,2987,"31,9","26,8","0,1","1,4","7,7","12,2","2,8","1,4","0,7",0,"10,5",0,0,0,0,0,"2,3"
15/05/2022,Yön09em,2400,"31,2","29,4","0,1",0,"7,4","12,3","1,9",0,1,0,"11,2",1,"2,4",0,0,0,"3,1"
15/04/2022,ALF,4750,"29,2",25,"0,1",0,"7,4","16,1","2,1",2,"1,7",0,"13,2",0,"0,7","1,1","1,5","1,1",3
28/04/2022,Areda Survey,2000,"36,9","25,1","0,1","1,3","10,1","11,8","0,9","0,2",1,0,"11,9",0,"1,1","0,7","0,4",0,"1,1"
15/04/2022,Avrasya,2460,"29,5","30,5","0,1",0,"5,7","12,6","4,7","1,9","0,9",0,10,0,"2,2",0,0,0,2
15/04/2022,Opti03,1847,"36,2","26,6","0,1","0,6","10,1","10,6","1,1","0,6","0,8",0,"9,1",0,"0,5","0,6","0,7",0,"1,3"
30/04/2022,Artıbir,1500,"29,7","27,2","0,1","0,7","6,2","14,2","4,6","2,3","1,8",0,"10,9",0,"0,3","0,4",0,0,0
28/04/2022,MAK,5750,"29,3","27,1","0,1",0,"7,1","15,1","3,2","2,8","1,3",0,"10,1",0,0,0,0,0,"5,7"
25/04/2022,Area,2450,30,27,"0,1","0,6","8,1",16,"2,2","0,5","0,7",0,"10,6","1,2","0,4","0,3","0,5",0,"1,9"
15/04/2022,MetroPOLL,2164,"32,1","22,4","0,1","1,3","7,3","18,6",2,"0,6","1,4",0,13,0,"0,6",0,0,0,"1,4"
22/04/2022,ORC,4385,"28,1","24,3","0,1","1,3","7,8","17,3","2,1","2,3","1,6",0,"10,3",0,"0,8","0,9","1,5","1,2","2,3"
15/04/2022,Aksoy,1067,"30,4","28,9","0,1",0,"7,3","13,3","2,7","1,4","1,1",0,"8,8",0,0,0,0,0,"4,4"
15/04/2022,İEA,1500,"32,3","25,9","0,1",0,"6,7","16,8","1,7","0,5","1,2",0,"10,4",0,"0,5",0,0,0,"2,9"
10/4/2022,ASAL,2100,"35,9","25,1","0,1","1,4","9,1","11,8","1,9",1,"1,3",0,"9,9",0,0,0,0,0,2
15/04/2022,Sosyo Politik,2010,"33,4","30,2","0,1",0,"7,1","12,4","3,8","1,4","0,6",0,"9,7",0,0,0,0,0,0
15/04/2022,Artıbir,2000,"29,5","27,4","0,1",0,"6,7","14,2","4,3","2,1","1,6",0,"8,4",0,0,0,0,0,1
4/4/2022,Piar,2584,34,"24,5","0,1",0,9,"10,3","2,3",0,"1,6",0,"8,9","1,1","1,5",0,0,"1,3","2,5"
3/4/2022,Yön09em,2400,"31,2","28,6","0,1","1,8","7,8","14,5","2,6","0,5","0,7",0,"11,6","1,3",0,0,0,0,1
4/3/2022,ORC,3540,"28,4","23,2","0,1","1,2","8,2",17,"2,7","3,2","1,5",0,"9,8",0,0,1,"1,4","0,6","2,5"
15/03/2022,Areda Survey,2000,"38,1","23,2","0,1","0,7","10,3","11,6","1,7",0,"0,7",0,"11,2",0,0,1,"0,1",0,"1,7"
29/03/2022,Avrasya,2460,"30,8","31,5","0,1","0,9","5,7","12,6","3,5","0,8","0,8",0,"11,8","0,8","0,8","0,7",0,0,"2,6"
15/03/2022,Bulgu,2000,"32,4","26,2","0,1","1,5","7,4","12,8","1,8","0,5","0,7",0,"12,6","1,2",0,0,0,0,"4,9"
15/03/2022,MetroPOLL,1535,"34,3","24,1","0,1","1,2","4,9","16,1","2,2","0,7","1,4",0,"13,4",0,0,0,0,0,"2,1"
23/03/2022,Area,2500,"31,1","27,3","0,1",0,"8,3",16,"3,1",1,1,0,"10,1",0,0,0,0,0,"1,9"
15/03/2022,MAK,5750,"30,4","26,2","0,1","0,7","7,1","14,8","3,4","2,8","1,3",0,"10,6",0,0,"0,4","0,1","1,2","2,8"
18/03/2022,ASAL,1580,"34,5","26,1","0,1","0,7","8,6","12,3",2,"1,3","1,2",0,"8,2",0,0,"0,9","0,7",0,"1,3"
15/03/2022,Aksoy,1067,"29,8","28,4","0,1",0,"8,6","13,6","2,9",1,1,0,"6,4",0,0,0,0,0,"4,7"
16/03/2022,Opti03,2002,"38,7","25,1","0,1",0,"10,5",11,"1,1","0,6","1,1",0,"9,1",0,0,"0,5","0,8",0,"0,7"
15/03/2022,ALF,3200,"28,7","24,2","0,1","0,9","8,1","16,1","3,6","4,1","1,6",0,"8,1",0,0,0,"1,5",1,"1,8"
15/03/2022,ORC,7290,"28,1","23,8","0,1","0,9","8,7","16,8",3,"3,5","1,6",0,"8,7",0,0,"0,8","1,4",0,"2,5"
15/03/2022,İEA,1500,"31,9","25,9","0,1",0,"7,8","15,2","2,7","1,2","1,6",0,"12,1",0,0,0,0,0,"2,1"
6/3/2022,Yön09em,2488,32,"30,3","0,1",1,"6,9","12,9","2,8","0,4",1,0,"9,7",1,0,"0,4",0,0,"2,5"
15/03/2022,İlgi,2000,"30,9","25,9","0,1",0,"9,2","13,4",0,0,0,0,"10,5",0,0,0,0,0,0
15/03/2022,Piar,2608,"32,7","25,7","0,1",0,"9,3","11,2","2,9","1,4","1,5",0,"9,7","0,9",0,0,0,"0,9","2,6"
3/1/2022,Avrasya,2460,"28,1","28,4","0,1",0,"5,5",13,"5,4","1,9","1,6",0,"12,6","0,9",0,"0,6",0,"0,7","2,2"
15/03/2022,Artıbir,2000,"29,8","27,2","0,1",0,"6,8","14,1","4,2","1,9","1,6",0,"8,4",0,0,0,0,0,1
28/02/2022,Gezici,2000,"30,4","28,2","0,1",1,"9,2","11,3","2,2","1,4","0,8",0,11,"0,4","1,2","1,2","0,9",0,"3,3"
25/02/2022,Area,2460,"33,1",28,"0,1",0,"8,1","14,2",3,0,"0,8",0,"12,9",0,0,0,0,0,"1,4"
15/03/2022,Aksoy,1067,"28,8","13,7","0,1",0,"2,8","10,6",1,1,0,0,"13,5","3,5",0,0,0,0,0
17/02/2022,MetroPOLL,1535,"26,7",13,"0,1",0,"3,1","12,6",0,"2,4",0,0,"11,5","3,1","0,9",0,"1,1",0,0
18/02/2022,MAK,5750,"30,4","25,5","0,1","0,7","7,2","14,8","3,4","2,6","1,3",0,"10,2",0,0,"0,4","0,2","1,1","2,6"
13/02/2022,ORC,5130,30,"24,1","0,1","0,9","9,4","15,1","2,6","4,2","1,5",0,"11,1",0,0,1,"1,4","0,9","0,8"
15/03/2022,ALF,7250,"30,2","25,1","0,1","0,7","8,5","13,8","3,4",4,"1,6",0,"10,6",0,0,"0,8",0,0,"3,2"
15/03/2022,Piar,2604,"32,8","26,3","0,1",0,"8,9","11,1","3,2",0,"1,5",0,"8,4",0,0,0,0,0,"4,1"
